manifest_file,fss_source_file,match_type,local_duration_s,source_duration_s,note
vishing_1.wav,3차-(12).4차례 신고된 남성 전화금융사기범 음성 4.mpeg-01.wav,exact,93.36,93.44,
vishing_2.wav,"(1) 은행 창구에서 불량 은행 직원이 귀하의 명의도용 사건 관련하여 조사를 받는 중인지 질문을 할 수 있는데, 이런 질문에 대해서는 그냥 아니라고 회피하시면 됩니다. 불량 은행 직원이 눈치 챌 수 있으니 은행권 안에서는 통화를 하지 마세요.mp3",exact,759.01,759.09,
vishing_3.wav,신용평점을 높이려면 기존 대출을 상환하셔야 합니다.mp3,exact,128.05,128.39,
vishing_4.wav,(2) 은행권에 들어갔다 나오더니 태도가 갑자기 왜 이렇습니까_ 본인 관할 경찰서 어디에요.mp3,exact,163.91,164.0,
vishing_5.wav,대출빙자형 사례 6_편법을 통해 피해자 신용평점을 상향시키기 위한 대출상환 요구.mp4-01.wav,exact,218.28,218.42,
vishing_6.wav,(4) 고객님과 담당자 간 부정대납이 있었던 것을 해결해주셔야 대출이 가능합니다..mp3,exact,381.0,380.43,
vishing_7.wav,(ARS) 행복을 약속하는 신한은행.mp3,exact,14.32,14.32,
vishing_8.wav,"팀장 이상 직급 직원의 개인실명계좌로 상환절차를 진행하실거에요. 대출 과정에서 종종 문제가 발생하는데, 책임을 회피하지 못하도록 팀장 이상 직원의 개인계좌로 절차를 진행하는 거에요.mp3",exact,148.9,150.02,
vishing_9.wav,신용평점이 신용등급에 비해 낮게 책정되어 상환능력이 낮아 원칙대로라면 부결로 처리될 건이신데요.mp3,exact,160.52,160.18,
vishing_10.wav,검찰사칭_단순한사항때문에 연락드린건 아니다.mp3,exact,62.83,63.24,
vishing_11.wav,4차례 신고된 남성 전화금융사기범 음성 2.mpeg-01.wav,exact,40.71,40.85,
vishing_12.wav,"고객님들의 신용대출 거래내역을 토대로 대출을 해드리는데, 고객님은 신용대출이 없어 상환능력평가 미달로 부결처리되었습니다.mp3",exact,383.34,383.61,
vishing_13.wav,"고객님 상환하셨다는 서류를 고객센터로 보내야 하는데, 수요일이 공휴일이라 처리가 밀려서 아직 상환내역이 확인안되시는 걸거에요.mp3",exact,103.6,103.73,
vishing_14.wav,수사기관사칭_야 그걸 누가 속냐.mp3,exact,83.38,83.97,
vishing_15.wav,"(대출사기 ①) 이미 금감원 쪽에 고객님께서 대출 알아보신다는 정보가 들어가서, 만약에 지금 대출을 취소하시면 향후 대출 받으실 때 불이익이 있을 수 있습니다.mp3",exact,751.93,752.01,
vishing_16.wav,(은행·캐피탈 직원 역할분담 ① - 은행직원) OOO캐피탈 채권회수팀에 직접 연락하셔서 기존 대출을 납부하시면서 전산이관 요청을 하셔야 합니다.mp3,exact,188.27,189.7,
vishing_17.wav,(3) 송금 시간이 늦어져서 예약 송금 건으로 자금 송금하도록 하겠습니다.mp3,exact,217.69,217.95,
vishing_18.wav,원하시는 대출금의 20percent에 해당하는 금액을 예치하셔야 상환능력이 확인되어 대출이 가능합니다.mp3,exact,159.03,159.14,
vishing_19.wav,명의도용 및 양도혐의로 몇가지 확인차 연락.mp3,offset_corrected,888.27,882.85,metadata bias ~2.45s
vishing_20.wav,금감원_보이스피싱_4_수정07.mp4.wav,exact,190.61,191.8,
vishing_21.wav,(대포통장 모집-②) (제보자가 대포통장 명의인으로 신고된 후 화가 나서 전화하자) 저희도 보이스피싱 사기를 당한거에요.mp3,exact,141.97,142.05,
vishing_22.wav,"(동일 사기범 다수 제보 건 편집본) 귀하의 이름을 판매자로 등록한 후 고가의 항공권, 상품권을 판다고 한 후, 돈만 가로채고 도주한 사건입니다.mp3",exact,292.57,292.13,
vishing_23.wav,"(동일 사기범 다수 제보 건 편집본) 녹취라고 해서 별다른 건 없고, 아까 제가 드렸던 질문을 그대로 녹취에 담을 겁니다. 수사 협조 부탁드립니다.mp3",exact,243.65,243.72,
vishing_24.wav,"(동일 사기범 다수 제보 건 편집본) 중고나라 사이트를 통해 고가의 물건을 등록해놓고 물건은 양도하지 않고 자금만 편취한 사건인데, 금융범죄사기로 분류되어 저희 첨단범죄수사부에서 사건 진행을 맡고 있습니다.mp3",exact,349.75,348.95,
vishing_25.wav,(동일 사기범 다수 제보 접수 건 편집본) 저는 서울중앙지검 강력수사팀 OOO 수사관입니다. 명의가 유출되어 피해를 보신 부분에 대해서는 보상을 받으실 수 있습니다..mp3,exact,297.46,297.2,
vishing_26.wav,(사기이용계좌 명의인에게 지급정지 해제 명목으로 금전 요구) 계좌 지급정지를 해제하기 위해서는 200만원을 보내주셔야 합니다. 그렇지 않으시면 벌금 500만원 정도 납부하시고 6개월~1년 정도 기다리셔야 해요..mp3,exact,405.55,405.55,
vishing_27.wav,"(대포통장 모집-①) 퀵서비스를 보내드릴 건데, 적당한 크기의 박스에 걸레 등을 꽉 채워서 무게를 늘려서 체크카드인 걸 들키지 않게 해서 보내주세요.mp3",exact,189.61,190.69,
vishing_28.wav,"(은행·캐피탈 직원 역할분담 ② - 은행직원) 고객님이 OOO캐피탈에 직접 연락하시면 저희가 필요한 공문을 못받아요 못받아요. 저희가 미리 OOO캐피탈에 공문 요청할테니, 해당 직원에게 상환하세요.mp3",exact,213.28,213.34,
vishing_29.wav,(은행·캐피탈 직원 역할분담 ③ - 캐피탈직원) 저희 OOO캐피탈 대출 갚으시고 OO은행으로 저금리 대출 전환하시려는거 아니죠_.mp3,exact,209.63,209.71,
vishing_30.wav,(인출책 모집 수법) 귀하의 계좌로 입금되는 중고차 매매 대금을 인출해서 영업사원에게 전달해드리면 됩니다.mp3,exact,293.83,293.9,
vishing_31.wav,"(인출책 모집수법) 돈을 받아서 비트코인을 산 다음 현금화하는 건데, 편법이긴 하지만 불법은 아닙니다.mp3",exact,329.42,329.51,
vishing_32.wav,42세남성 이동수와은 어떤관계죠.mp3,offset_corrected,485.25,482.43,metadata bias ~2.45s
vishing_33.wav,3차-(5).5차례 신고된 남성 전화금융사기범 음성 3.mpeg-02.wav,exact,66.95,66.97,
vishing_34.wav,"(피해자 자산이 별로 없자 급히 종결) 일단 간단한 조사는 완결되었고, 추후 본인 주소지로 조사결과서와 출석요구서가 갈 수 있으니 잘 받아주시기 바랍니다.mp3",exact,436.84,436.92,
